timestamp_us,kernel,family,Q,repeat,latency_ms_mean,recall_mean,encode_ms_mean,lut_ms_mean,scan_ms_mean,select_ms_mean,rerank_ms_mean,build_time_sec,block_size
1778129029799442,fssdc-m16-p1000-b32,fssdc,200,1,3.050000,0.993500,0.034000,0.042000,2.040000,0.740000,0.190000,1.038674,32
1778129034829337,fsadc-m16-p2000-b32,fsadc,200,1,3.296000,1.000000,0.000000,0.062000,2.052000,0.766000,0.413000,1.188156,32
1778129035265299,sdc-m16-p1000,sdc,200,1,3.729000,0.993000,0.034000,0.000000,2.673000,0.743000,0.276000,1.351309,32
1778129084340686,fsadc-m16-p2000-b32,fsadc,2000,3,3.533000,0.999950,0.000000,0.065000,2.146667,0.785000,0.533667,1.058629,32
1778129085465223,fsadc-m16-p1500-b32,fsadc,2000,3,3.415333,0.999950,0.000000,0.064000,2.101333,0.783333,0.463667,1.117425,32
1778129086123872,fsadc-m16-p1000-b32,fsadc,2000,3,3.186333,0.999750,0.000000,0.063000,2.048000,0.765000,0.307333,1.190965,32
1778129133687590,fsadc-m16-p1400-b32,fsadc,2000,3,3.479667,0.999950,0.000000,0.068667,2.214000,0.782000,0.412333,1.060607,32
1778129134949260,fsadc-m16-p1300-b32,fsadc,2000,3,3.368000,0.999850,0.000000,0.066000,2.096333,0.775000,0.428000,1.121085,32
1778129136333261,fsadc-m16-p1200-b32,fsadc,2000,3,3.275000,0.999850,0.000000,0.065333,2.056333,0.765000,0.385667,1.205378,32
1778129196370489,fsadc-m16-p1500-b64,fsadc,2000,3,3.178667,0.999950,0.000000,0.061000,1.920000,0.770000,0.424667,1.128746,64
1778129198067733,fsadc-m16-p1500-b16,fsadc,2000,3,3.658333,0.999950,0.000000,0.066333,2.366333,0.781000,0.441333,1.061810,16
1778129228302115,fsadc-m16-p1500-b128,fsadc,2000,3,3.293000,0.999950,0.000000,0.067000,1.944333,0.781333,0.497333,1.056480,128
1778129984361304,fsadc-m16-p1500-b64,fsadc,2000,3,3.124333,0.999950,0.000000,0.063333,1.868000,0.814667,0.375667,1.122411,64
